MONTHS_SINCE_ORIGIN,DONOR_AGE,PCT_OWNER_OCCUPIED,PCT_WWII_VETERANS,FREQUENCY_STATUS_97NK,RECENT_CARD_RESPONSE_COUNT,LIFETIME_AVG_GIFT_AMT,CARD_PROM_12,FILE_CARD_GIFT,PER_CAPTITA_INCOME,MONTHS_BTW_GIFT,IN_HOUSE_0,IN_HOUSE_1,URBANICITY_?,URBANICITY_C,URBANICITY_R,URBANICITY_S,URBANICITY_T,URBANICITY_U,HOME_OWNER_H,HOME_OWNER_U,DONOR_GENDER_F,DONOR_GENDER_M,DONOR_GENDER_U,PEP_STAR_0,PEP_STAR_1,SES_1.0,SES_2.0,SES_3.0,SES_4.0
113,51.0,34,16,1,1,5.07,5,10,17373.0,92,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
17,71.0,41,30,1,1,20.0,5,1,7807.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
89,76.0,43,48,1,2,6.0,6,7,18512.0,64,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
137,80.0,71,29,2,5,9.07,13,16,12466.0,122,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
137,56.0,89,28,4,4,8.34,5,15,12027.0,80,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
89,0.0,78,32,2,0,16.6,6,3,10804.0,69,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
137,79.0,74,0,2,5,9.12,7,19,9798.0,125,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
29,75.0,58,27,1,1,12.5,4,1,8237.0,11,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0
113,55.0,89,19,2,3,12.5,6,7,25887.0,94,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
77,74.0,74,28,3,2,4.71,5,6,12714.0,52,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
65,65.0,85,27,4,3,5.11,6,9,16190.0,47,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
137,84.0,72,55,1,2,10.7,6,17,13513.0,114,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
29,0.0,48,0,1,3,13.33,5,3,13797.0,11,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
89,57.0,18,27,1,2,26.67,6,5,19857.0,62,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
29,54.0,86,14,2,2,15.0,6,2,19378.0,11,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
17,65.0,80,17,2,1,14.0,5,1,9293.0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
113,73.0,48,42,1,1,14.33,6,8,10400.0,91,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
17,0.0,53,12,1,1,15.0,4,1,13581.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
89,78.0,49,34,2,3,14.25,6,8,19730.0,66,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
29,49.0,66,39,1,1,9.33,3,1,8297.0,18,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
89,41.0,87,36,2,3,10.1,6,8,11092.0,73,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
29,0.0,5,18,3,2,7.0,6,2,13698.0,10,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
29,41.0,87,20,1,1,20.0,3,1,14453.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
29,0.0,86,0,3,2,6.5,4,2,20386.0,14,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
89,72.0,67,36,2,3,10.11,4,14,14394.0,72,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
113,69.0,69,13,4,2,4.64,6,7,12464.0,86,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
53,57.0,68,42,1,2,21.5,6,5,10187.0,31,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
29,69.0,72,35,1,1,25.0,5,1,10284.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
137,76.0,74,44,2,4,3.82,6,14,12255.0,112,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
137,87.0,10,18,1,0,19.15,5,7,11723.0,102,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
65,67.0,67,19,2,0,10.0,5,1,11815.0,49,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
41,33.0,81,22,2,2,7.8,6,3,7939.0,17,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
17,58.0,79,38,1,1,15.0,3,1,18509.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
65,0.0,84,42,1,0,15.6,6,2,7577.0,45,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
29,26.0,90,41,1,1,100.0,6,1,32560.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
77,49.0,89,27,2,4,7.64,6,7,13805.0,54,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
137,0.0,90,46,2,2,4.36,6,20,20459.0,110,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
101,56.0,50,30,2,2,17.18,6,8,19790.0,81,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
41,0.0,50,26,4,4,10.4,6,5,19810.0,29,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
17,87.0,77,59,1,1,25.0,5,1,47973.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
77,72.0,87,25,1,0,13.0,5,2,12356.0,61,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
89,72.0,82,57,1,0,10.8,5,4,17542.0,66,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
17,81.0,63,32,1,1,15.0,4,1,22485.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
137,27.0,8,35,3,3,9.53,6,11,7813.0,114,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
77,66.0,70,21,2,3,12.2,6,5,17600.0,59,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
29,75.0,89,66,1,2,15.0,4,2,13439.0,7,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
29,65.0,83,34,2,2,12.67,6,2,36215.0,9,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
137,0.0,90,20,1,0,8.54,3,8,10920.0,104,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
89,0.0,89,19,4,2,5.27,6,9,20943.0,69,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
29,0.0,65,31,4,3,8.71,6,3,9518.0,11,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
137,0.0,46,38,2,1,5.14,6,9,10164.0,103,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
65,47.0,83,42,2,4,9.0,6,7,15887.0,36,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
53,50.0,95,28,1,0,41.67,5,1,19555.0,35,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
137,0.0,77,27,1,1,11.5,4,13,9747.0,112,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
77,74.0,89,57,3,1,11.83,6,2,29484.0,58,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
113,80.0,66,29,1,0,12.83,8,10,17726.0,104,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
77,84.0,74,20,3,3,18.17,6,6,9869.0,49,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
77,65.0,38,27,1,1,15.86,7,2,8511.0,62,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
137,79.0,64,50,1,0,8.92,4,10,33169.0,108,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
17,65.0,88,51,1,0,25.0,4,0,14435.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
77,51.0,68,40,1,2,15.71,6,6,11000.0,51,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
137,78.0,68,13,1,2,6.64,4,17,12283.0,117,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
89,63.0,54,46,1,0,10.44,6,5,7853.0,63,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
113,56.0,66,39,1,0,28.45,6,5,10667.0,83,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
29,76.0,79,49,3,3,8.0,6,3,11668.0,16,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
65,78.0,80,39,1,1,13.2,6,3,26265.0,42,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
113,81.0,64,43,1,1,15.22,6,6,21787.0,86,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
137,59.0,87,30,2,0,9.73,5,6,16107.0,111,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
41,0.0,32,29,1,1,10.29,6,3,18324.0,20,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0
17,59.0,57,37,1,0,15.0,4,0,10100.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
29,0.0,80,21,4,3,9.17,6,3,18273.0,10,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
101,0.0,87,38,1,1,10.71,6,3,9119.0,74,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
29,65.0,99,26,2,2,15.0,6,2,19338.0,7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
77,63.0,19,0,2,2,10.33,6,6,16654.0,52,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
101,85.0,37,57,1,3,10.52,6,12,31606.0,73,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
137,65.0,85,12,4,1,4.65,6,11,13711.0,108,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
65,0.0,73,33,1,2,12.17,5,3,24346.0,40,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
29,0.0,80,26,3,4,7.4,5,4,13865.0,17,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
89,62.0,88,22,1,1,23.0,6,4,14170.0,57,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
113,59.0,91,19,1,0,12.08,7,6,28752.0,98,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
137,59.0,90,34,1,1,8.13,5,8,18785.0,103,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
77,75.0,65,33,2,0,7.25,4,5,7207.0,57,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
29,53.0,38,17,2,3,30.0,6,3,7937.0,13,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
17,0.0,66,88,1,1,25.0,5,1,10894.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
