CONTROL_NUMBER_N,TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
1,1,65,,0,S,2,17,U,F,2,0,M,23,1,625,247,46,13242,0,34,37,27,0,0,A,4,0.238,7,0.4,6.25,5,4,16,18,46,65,9,7.22,7,12,5,10,6,14,16,55,7.22,5
2,1,29,,0,S,2,17,U,F,,0,N,0,,1491,396,74,26286,0,37,21,42,0,0,A,2,0.214,14,0.143,20,3,1,21,11,26,42,3,14,10,20,10,20,6,13,21,32,14,1
3,0,17,40,0,T,1,35,H,F,6,1,B,1,,1336,490,84,21694,1,41,27,38,0,0,F,1,0.143,20,0.333,20,1,1,19,6,16,20,1,20,0,20,20,20,4,10,19,19,20,1
4,0,89,72,0,C,2,28,U,M,7,0,P,0,5,675,226,74,12605,0,37,27,54,1,0,A,1,0.091,25,0.182,25,2,2,17,24,65,112,7,16,20,25,5,25,6,15,17,88,16,6
5,0,29,,0,C,2,27,U,F,5,0,M,4,,1263,309,35,12818,2,44,50,19,0,0,A,2,0.214,14.67,0.429,14.67,3,3,17,11,24,44,3,14.67,11,20,9,20,6,12,17,33,14.67,3
6,0,65,83,0,S,2,16,U,F,1,1,B,1,7,694,416,98,14995,0,27,44,14,0,0,A,3,0.211,7.5,0,0,4,0,15,16,40,46,8,5.75,9,10,1,10,5,12,15,64,5.75,2
7,1,89,77,0,S,2,18,H,M,3,1,B,12,,793,429,89,12976,0,25,61,16,1,0,A,3,0.158,7.33,0,0,3,0,18,22,64,86,13,6.62,9,9,0,0,6,18,14,81,6.62,3
8,0,101,69,0,U,1,3,H,F,7,0,P,0,4,4224,314,28,17898,0,11,22,42,1,5,A,1,0.136,16.67,0.182,17,3,2,20,29,71,159,12,13.25,20,25,5,18,6,13,20,105,13.25,8
9,1,89,72,0,C,3,30,H,M,2,1,B,22,4,487,273,63,13272,0,27,17,48,1,1,S,4,0.529,5,0.636,5,9,7,17,27,62,140,28,5,0,5,5,5,6,13,17,92,5,19
10,0,41,55,0,U,4,10,H,M,3,0,P,0,,241,178,33,7276,0,35,0,34,0,0,A,1,0.095,15,0.1,16,2,1,16,15,36,61,5,12.2,11,16,5,16,6,12,16,40,12.2,1
11,0,17,47,0,T,2,36,U,F,3,0,P,0,,841,351,75,14137,0,28,29,31,0,0,F,2,0.4,11.5,0.5,3,2,1,15,5,14,23,2,11.5,17,20,3,3,4,12,15,16,11.5,1
12,0,29,46,0,T,2,39,H,F,5,0,P,0,,740,334,65,12021,0,18,18,38,1,0,A,3,0.231,10,0.333,8.5,3,2,19,10,24,36,4,9,8,13,5,13,6,12,19,28,9,2
13,1,65,42,0,R,2,48,H,F,4,1,B,1,4,1333,340,86,16145,0,45,15,49,0,0,A,4,0.333,11.4,0.429,10.33,5,3,16,10,30,92,9,10.22,10,13,3,10,4,10,16,64,10.22,4
14,1,113,80,0,S,1,11,H,M,3,0,B,31,7,3223,487,74,22177,0,30,38,45,1,1,S,3,0.25,8.75,0.5,8.75,4,4,18,18,46,116,18,6.44,5,10,5,10,4,8,18,103,6.44,13
15,0,125,78,0,C,1,24,H,F,7,0,P,0,7,1795,510,71,19703,2,39,48,26,1,0,A,1,0.077,50,0,0,1,0,18,26,61,167,9,18.56,45,50,5,50,6,13,18,124,18.56,6
16,0,77,73,0,C,2,26,H,F,4,1,B,12,,642,207,41,11357,0,42,49,25,0,0,A,1,0.063,15,0.167,15,1,1,25,16,43,36,4,9,10,15,5,15,4,10,25,74,9,3
17,0,41,61,0,U,3,8,U,F,2,0,M,7,,1893,234,27,9251,0,13,41,43,1,0,A,3,0.25,10.8,0.4,10.5,5,4,20,15,35,64,6,10.67,2,12,10,10,6,12,20,40,10.67,5
18,1,65,73,0,C,1,23,H,F,3,0,B,0,8,1675,336,60,25558,0,41,27,65,1,0,A,3,0.35,20.71,0.364,23.75,7,4,15,21,53,220,11,20,15,30,15,15,6,15,15,57,20,7
19,0,113,50,0,C,1,24,U,U,,0,N,0,7,2195,535,69,16480,0,24,43,13,1,12,A,1,0.05,16,0.1,16,1,1,22,29,74,283,26,10.88,13,16,3,16,6,12,22,112,10.88,14
20,0,113,36,0,S,2,17,H,M,5,0,P,0,5,609,315,57,13508,0,29,37,20,0,0,A,2,0.188,18.67,0.25,19,3,2,21,22,54,97,6,16.17,10,20,10,20,6,13,21,112,16.17,5
21,1,29,,0,S,2,20,H,F,5,0,P,0,,2352,363,63,18059,1,34,27,40,0,0,A,1,0.133,15,0.167,10,2,1,19,9,23,30,2,15,10,20,10,20,4,10,19,33,15,1
22,0,29,,0,R,2,43,U,F,,0,N,0,,569,277,86,11842,0,29,37,32,0,0,A,1,0.143,15.5,0,0,2,0,18,10,23,44,3,14.67,3,16,13,16,5,11,18,28,14.67,0
23,1,137,77,0,T,3,41,U,F,,1,N,0,1,918,315,83,16983,0,38,0,51,1,1,E,4,0.75,5.83,1,5.5,6,4,17,18,44,173,30,5.77,5,10,5,6,1,5,17,112,5.77,20
24,0,65,46,0,S,1,15,U,M,1,0,P,0,6,3228,333,34,17885,0,28,30,30,1,0,A,1,0.2,13,0.2,13,4,2,18,17,46,68,6,11.33,10,15,5,15,6,13,18,57,11.33,4
