CONTROL_NUMBER_N,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
13423,113,51,0,S,1,15,H,F,6,1,B,40,6,813,325,34,17373,3,29,53,16,1,11,A,1,0.105,11,0.125,12,2,1,19,25,66,71,14,5.07,10,12,2,10,5,12,19,111,5.07,10
13424,17,71,0,U,4,10,U,F,1,0,P,0,,942,146,41,7807,0,16,11,30,0,0,F,1,0.25,20,0.5,20,1,1,17,6,14,20,1,20,0,20,20,20,5,11,17,17,20,1
13425,89,76,0,U,1,3,H,M,6,1,B,5,6,906,351,43,18512,0,15,24,48,1,5,A,1,0.143,9,0.2,6,3,2,17,23,60,72,12,6,14,16,2,15,6,15,17,81,6,7
13426,137,80,1,R,2,46,U,M,,1,N,0,1,557,279,71,12466,0,31,32,29,1,1,S,2,0.286,8.83,0.455,9.6,6,5,21,44,130,245,27,9.07,9,14,5,10,13,45,6,128,9.07,16
13427,137,56,0,R,2,49,H,M,4,1,B,3,5,666,352,89,12027,0,32,35,28,1,1,S,4,0.318,9.86,0.364,9.75,7,4,22,33,80,342,41,8.34,6,11,5,10,5,11,18,98,8.34,15
13428,89,,0,R,2,46,U,F,,0,N,0,,762,242,78,10804,0,43,35,32,0,0,A,2,0.118,18,0,0,2,0,19,21,51,83,5,16.6,4,19,15,19,6,13,19,88,16.6,3
13429,137,79,1,?,?,,U,M,4,0,B,5,3,284,222,74,9798,0,0,0,0,1,1,S,2,0.286,10.33,0.455,10.4,6,5,18,35,123,310,34,9.12,10,13,3,10,7,31,4,129,9.12,19
13430,29,75,0,U,3,8,H,M,3,1,B,5,,574,210,58,8237,0,27,18,27,0,0,A,1,0.154,12.5,0.167,10,2,1,18,9,22,25,2,12.5,5,15,10,15,4,10,18,29,12.5,1
13431,113,55,0,S,1,14,H,M,6,1,B,15,9,1761,583,89,25887,0,33,40,19,0,0,A,2,0.158,18.33,0.333,18.33,3,3,19,26,57,100,8,12.5,17,20,3,20,6,13,19,113,12.5,7
13432,77,74,0,T,2,40,H,M,5,1,B,1,5,572,356,74,12714,8,59,64,28,1,1,S,3,0.188,7,0.286,7.5,3,2,17,18,49,66,14,4.71,6,8,2,7,5,11,17,69,4.71,6
13433,65,65,0,S,2,18,U,M,,0,N,0,8,837,385,85,16190,0,36,23,27,1,1,S,4,0.235,5.75,0.333,6,4,3,21,20,50,92,18,5.11,7,10,3,5,6,13,18,65,5.11,9
13434,137,84,0,S,3,21,H,F,1,1,B,6,7,538,267,72,13513,0,38,19,55,1,13,A,1,0.1,16,0.182,16,2,2,16,34,84,214,20,10.7,12,17,5,17,6,14,16,130,10.7,17
13435,29,,0,?,?,,U,M,,0,N,0,,2158,308,48,13797,0,0,0,0,0,0,A,1,0.2,13.33,0.5,13.33,3,3,22,15,40,40,3,13.33,10,20,10,20,5,15,22,33,13.33,3
13436,89,57,0,S,1,14,U,F,,1,N,0,9,819,284,18,19857,1,21,50,27,0,0,A,1,0.091,25,0.182,25,2,2,18,24,58,160,6,26.67,15,35,20,25,6,13,18,80,26.67,5
13437,29,54,0,T,1,35,H,F,6,1,B,14,,1478,576,86,19378,0,28,54,14,0,0,A,2,0.2,15,0.286,15,3,2,21,11,27,45,3,15,0,15,15,15,6,12,21,32,15,2
13438,17,65,0,C,2,27,H,M,5,0,P,0,,519,258,80,9293,22,47,77,17,0,0,N,2,0.2,18,0.5,18,1,1,17,6,15,28,2,14,8,18,10,10,5,12,15,17,14,1
13439,113,73,0,C,3,30,U,M,4,1,M,1,1,416,227,48,10400,0,25,15,42,1,12,A,1,0.053,20,0.111,20,1,1,21,28,67,172,12,14.33,15,20,5,20,6,12,21,112,14.33,8
13440,17,,0,U,2,6,U,F,,0,N,0,,2718,349,53,13581,0,16,35,12,0,0,F,1,0.2,15,0.5,15,1,1,17,5,14,15,1,15,0,15,15,15,4,11,17,17,15,1
13441,89,78,0,S,2,17,H,M,5,1,B,10,7,908,351,49,19730,0,56,35,34,1,0,A,2,0.238,18.4,0.273,18,5,3,20,25,61,171,12,14.25,20,25,5,20,6,13,20,86,14.25,8
13442,29,49,0,R,3,53,H,M,4,1,B,1,,372,154,66,8297,0,50,24,39,0,0,E,1,0.154,12.5,0.2,5,2,1,15,8,22,28,3,9.33,17,20,3,20,3,9,15,33,9.33,1
13443,89,41,0,R,2,49,H,M,5,1,B,0,6,501,303,87,11092,0,26,25,36,1,0,A,2,0.158,15,0.333,15,3,3,15,24,64,101,10,10.1,17,20,3,10,6,13,15,88,10.1,8
13444,29,,0,S,2,18,U,M,5,0,M,0,,872,208,5,13698,3,32,52,18,1,0,A,3,0.308,7.75,0.333,7.5,4,2,19,10,25,35,5,7,6,10,4,6,6,14,19,29,7,2
13445,29,41,0,S,2,18,U,M,2,0,P,0,,739,369,87,14453,1,40,37,20,0,0,N,1,0.1,20,0.25,20,1,1,24,6,16,20,1,20,0,20,20,20,3,8,24,24,20,1
13446,29,,0,U,4,10,U,M,,0,N,0,,2074,495,86,20386,0,0,0,0,0,0,A,3,0.167,5.5,0.4,5.5,2,2,15,8,25,26,4,6.5,7,10,3,8,4,10,15,29,6.5,2
13447,89,72,1,S,2,20,U,M,2,1,B,4,6,1075,366,67,14394,0,32,29,36,1,1,S,2,0.214,13,0.429,13,3,3,17,20,93,384,38,10.11,10,15,5,15,4,21,17,89,10.11,14
13448,113,69,0,U,2,7,H,M,4,1,B,14,4,1113,268,69,12464,0,19,9,13,1,1,S,4,0.25,4.8,0.222,5,5,2,18,26,61,65,14,4.64,4,6,2,5,6,12,18,104,4.64,7
13449,53,57,0,R,3,53,H,F,7,0,P,0,2,520,179,68,10187,0,38,13,42,1,0,A,1,0.182,25,0.182,27,4,2,22,19,47,172,8,21.5,22,32,10,32,6,13,22,53,21.5,5
13450,29,69,0,R,2,49,H,M,7,0,P,0,,451,219,72,10284,0,28,25,35,0,0,F,1,0.167,25,0.333,25,1,1,21,7,15,25,1,25,0,25,25,25,5,11,21,21,25,1
13451,137,76,0,C,3,30,H,F,1,0,B,2,0,676,305,74,12255,0,23,44,44,1,1,S,2,0.357,5,0.444,5,5,4,23,29,64,84,22,3.82,8,10,2,10,6,12,18,130,3.82,14
13452,137,87,0,U,3,9,H,F,1,1,B,30,2,952,198,10,11723,0,25,34,18,1,0,A,1,0.071,26,0,0,1,0,20,28,73,249,13,19.15,25,30,5,26,5,12,20,122,19.15,7
13453,65,67,0,U,2,7,H,M,4,0,B,13,,718,344,67,11815,2,41,19,19,0,0,A,2,0.182,15,0,0,2,0,16,14,39,50,5,10,15,20,5,20,5,12,16,65,10,1
13454,41,33,0,T,2,40,H,F,4,1,P,0,,594,155,81,7939,0,25,50,22,0,0,A,2,0.158,10,0.222,10,3,2,23,14,32,39,5,7.8,12,15,3,15,6,12,23,40,7.8,3
13455,17,58,0,R,1,42,U,F,5,1,B,1,,975,479,79,18509,0,42,22,38,0,0,N,1,0.143,15,0.333,15,1,1,21,5,13,15,1,15,0,15,15,15,3,8,21,21,15,1
13456,65,,0,R,3,51,U,M,2,1,M,0,2,321,164,84,7577,0,35,34,42,0,0,A,1,0.071,22,0,0,1,0,20,17,46,78,5,15.6,17,22,5,22,6,13,20,65,15.6,2
13457,29,26,0,S,1,14,U,M,,0,N,0,,5546,794,90,32560,0,25,28,41,0,0,N,1,0.091,100,0.2,100,1,1,24,9,22,100,1,100,0,100,100,100,6,11,24,24,100,1
13458,77,49,0,T,2,40,U,M,,0,N,0,,791,361,89,13805,1,40,32,27,1,0,A,2,0.19,9.5,0.364,9.5,4,4,15,22,56,84,11,7.64,9,12,3,12,6,13,15,69,7.64,7
13459,137,,0,R,3,50,U,M,1,0,P,0,0,868,494,90,20459,0,19,25,46,1,1,S,2,0.2,6.25,0.182,5,4,2,20,36,77,157,36,4.36,13,15,2,10,6,13,18,128,4.36,20
13460,101,56,0,S,1,11,H,F,2,1,B,6,9,945,398,50,19790,1,21,36,30,1,0,A,2,0.143,22.33,0.2,21,3,2,24,27,70,189,11,17.18,10,25,15,22,6,12,24,105,17.18,8
13461,41,,0,C,1,22,U,F,,0,N,0,9,872,336,50,19810,0,25,37,26,0,0,A,4,0.273,12.33,0.364,12,6,4,16,17,40,104,10,10.4,10,15,5,15,6,14,16,45,10.4,5
13462,17,87,0,S,1,13,H,F,6,0,B,25,,3410,710,77,47973,1,41,5,59,0,0,F,1,0.2,25,0.5,25,1,1,17,6,14,25,1,25,0,25,25,25,5,11,17,17,25,1
13463,77,72,0,R,2,49,U,M,2,0,P,0,2,547,289,87,12356,0,36,45,25,0,0,A,1,0,0,0,0,0,0,,15,72,78,6,13,20,20,0,0,5,33,7,68,13,2
13464,89,72,0,C,2,28,H,M,4,1,B,3,7,830,357,82,17542,0,40,17,57,0,0,A,1,0.095,17,0,0,2,0,26,22,54,108,10,10.8,13,18,5,18,5,11,26,92,10.8,4
13465,17,81,0,C,1,24,H,M,7,1,B,1,,2881,509,63,22485,0,25,18,32,0,0,F,1,0.2,15,0.5,15,1,1,16,5,13,15,1,15,0,15,15,15,4,10,16,16,15,1
13466,137,27,0,C,3,31,U,F,2,1,B,17,0,475,82,8,7813,0,18,21,35,1,1,S,3,0.222,12.5,0.375,13.33,4,3,17,29,72,143,15,9.53,9,14,5,14,6,13,17,131,9.53,11
13467,77,66,0,U,1,3,U,U,,0,N,0,9,1656,356,70,17600,0,42,26,21,1,0,A,2,0.182,16.5,0.273,15.33,4,3,18,21,50,122,10,12.2,15,20,5,20,6,13,18,77,12.2,5
